"","year","biomass","control.rule","sim"
"1",2023,25793.8387548969,"base",9716
"2",2024,25513.1154481596,"base",9716
"3",2025,23515.3614126855,"base",9716
"4",2026,22699.7660575691,"base",9716
"5",2027,20339.9569836186,"base",9716
"6",2028,17331.0003795497,"base",9716
"7",2029,27682.1313073847,"base",9716
"8",2030,45650.1525654393,"base",9716
"9",2031,44195.8267129031,"base",9716
"10",2032,31348.1262657221,"base",9716
"11",2033,24140.489068389,"base",9716
"12",2034,95424.8460124101,"base",9716
"13",2035,124252.368417636,"base",9716
"14",2036,95975.4537373143,"base",9716
"15",2037,83866.0803831907,"base",9716
"16",2038,65014.5084834126,"base",9716
"17",2039,83481.734638628,"base",9716
"18",2040,76290.3068568003,"base",9716
"19",2041,56904.3832929954,"base",9716
"20",2042,45057.9435504702,"base",9716
"21",2043,34750.8167772487,"base",9716
"22",2044,26092.5697918305,"base",9716
"23",2045,20638.3322109246,"base",9716
"24",2046,13304.8649984538,"base",9716
"25",2047,9285.61633311691,"base",9716
"26",2048,6525.88114857097,"base",9716
"27",2049,4559.21136269252,"base",9716
"28",2050,3679.55500831851,"base",9716
"29",2051,4060.68216977097,"base",9716
"30",2052,5932.6085044034,"base",9716
"31",2023,21651.5998025864,"base",8904
"32",2024,25121.3292095808,"base",8904
"33",2025,25294.2564800526,"base",8904
"34",2026,23448.9763040598,"base",8904
"35",2027,24412.0538619359,"base",8904
"36",2028,34925.1292593299,"base",8904
"37",2029,34125.8622728786,"base",8904
"38",2030,31472.6901653214,"base",8904
"39",2031,29247.6996417464,"base",8904
"40",2032,57409.8055818836,"base",8904
"41",2033,82651.5616330036,"base",8904
"42",2034,77507.6674656699,"base",8904
"43",2035,67582.7363529176,"base",8904
"44",2036,68498.4282385356,"base",8904
"45",2037,66670.4063956956,"base",8904
"46",2038,64886.713557258,"base",8904
"47",2039,65327.7208917694,"base",8904
"48",2040,54904.9837936606,"base",8904
"49",2041,44350.3373572473,"base",8904
"50",2042,34802.7599711632,"base",8904
"51",2043,24866.4123322423,"base",8904
"52",2044,20604.6547876581,"base",8904
"53",2045,17862.9479656678,"base",8904
"54",2046,12651.1518236945,"base",8904
"55",2047,11236.502402917,"base",8904
"56",2048,9857.5464479717,"base",8904
"57",2049,10368.1374447322,"base",8904
"58",2050,20514.3860939146,"base",8904
"59",2051,24998.0164881441,"base",8904
"60",2052,21249.5150006202,"base",8904
"61",2023,16440.4146290384,"base",4716
"62",2024,15991.8037802236,"base",4716
"63",2025,15105.5404487466,"base",4716
"64",2026,26741.6558030538,"base",4716
"65",2027,51636.1233107215,"base",4716
"66",2028,45044.3508390867,"base",4716
"67",2029,105109.362414843,"base",4716
"68",2030,128738.942116151,"base",4716
"69",2031,171853.525785647,"base",4716
"70",2032,144123.461702951,"base",4716
"71",2033,98947.7844500109,"base",4716
"72",2034,65298.9510938471,"base",4716
"73",2035,122410.773141585,"base",4716
"74",2036,110569.423121828,"base",4716
"75",2037,95771.0812268132,"base",4716
"76",2038,74078.6868335609,"base",4716
"77",2039,60297.2318652404,"base",4716
"78",2040,46245.8174055484,"base",4716
"79",2041,34526.0067760736,"base",4716
"80",2042,24797.5964512116,"base",4716
"81",2043,18390.2351693434,"base",4716
"82",2044,14871.0943988709,"base",4716
"83",2045,15075.2377452294,"base",4716
