YEAR,3,4,5,6,7,8,9+
1980,78.79104478,98.21079692,106.0638298,134.2490037,149.6334085,161.973101,171.7004512
1981,69.04859465,100.0465116,111.5449102,134.2490037,149.6334085,161.973101,171.7004512
1982,60,80,115,136,136,161.973101,171.7004512
1983,84.49166667,100.8202247,125.7777778,144,153.8081395,159.3571429,171.7004512
1984,73.16161616,90.14759536,107.2894737,127.6206897,152.2857143,166.7916667,172.962589
1985,82.22222222,107,124.3294509,138.835443,159.4770642,177.0933333,185.2854895
1986,86.20196011,101.6443066,126.2179835,138.2482588,156.2802369,170.8458069,189.4914248
1987,76,100,121,140,155,163,188.5266405
1988,58.71267606,89.80885549,107.6159091,135.1023622,151.6240876,165.0033783,190.4468031
1989,71.33333333,88.36531365,112.6240827,131.8490566,156.1709402,170.1896552,187.559456
1990,45.5,91,113.8852459,130.7119522,142.4280303,165.3214286,183.1836217
1991,65.87023256,79.27810651,119.0483871,129.436853,141.5445783,154.4959677,176.5059946
1992,67.54492639,87.87422645,89.22371062,116.1604221,134.5475889,143.8677024,161.3717658
1993,59.910898,86.28964019,101.2169632,113.5707564,128.0307298,135.9560755,144.3379911
1994,64.96774194,80.73404255,102.5042017,117.4452174,125.4375,153.7352941,152.1008065
1995,76.35424873,95.54519606,111.9376984,132.6818059,143.9049745,164.4590762,170.5907042
1996,78.93090047,101.5252786,119.1539701,133.3489234,149.4321211,164.2346133,200.0258938
1997,78.30580008,106.0190748,129.0086721,143.5221382,152.9798987,167.4631223,200.608617
1998,77.38735945,103.601243,126.1048352,143.9836626,155.016898,169.7407243,215.0903443
1999,79.08757173,101.3629612,123.628208,137.6406814,150.1392896,164.2512653,193.1641412
2000,82.53818747,103.2643809,124.4816529,140.8742312,148.7602222,164.5891024,198.1424827
2001,78.96172461,109.2131933,133.2597314,149.3597081,159.1843025,169.4311259,204.665532
2002,57.95711054,88.2752504,116.0540508,136.5216938,158.7230442,178.534046,213.0819669
2003,60.51577464,94.16059411,116.7313153,134.8912502,162.3628827,176.9318492,202.2933608
2004,57.43671742,98.83504724,116.4986846,133.3836554,155.4243289,166.1881275,206.5641373
2005,53.05196768,83.83349719,107.7067566,125.6723652,139.7877929,154.794315,183.9885227
2006,89.13765239,86.70545719,103.3781757,120.700995,138.4943664,145.8723458,185.7509535
2007,67.30023548,101.2965968,120.3718986,129.7980286,152.5683959,162.1120962,185.8568878
2008,66.05471978,102.3541958,128.6744075,147.1136411,160.842452,180.0907214,214.9532142
2009,63.79805525,88.91635378,115.0564415,134.7529376,157.1042635,178.3581506,214.6238572
2010,68.18298359,92.95756349,117.0301364,140.1107367,165.337615,186.2471566,223.4146355
2011,63.71332081,82.68319566,108.7470985,131.5952048,150.6184427,158.634985,201.0041937
2012,63.2346353,85.7520906,107.0973934,132.3817288,151.0578753,166.1206870,209.2614811
